Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,coef,shift,train_rss,train_mse,train_nmse
142,4,8,8,0.1,1e-05,2.6666666666666665,142,,6,142.0,0.029320205184374816,0.014201681751937523,3.124929379726458e-05,1.5624646898632288e-06,0.0035680018923128234
143,4,8,8,0.1,1e-06,2.6666666666666665,143,,7,143.0,0.029180857810307787,0.01777380417749985,4.128364110221765e-05,2.0641820551108824e-06,0.004713710029094162
144,4,8,8,0.2,0.1,2.6666666666666665,144,,0,144.0,-4.112733194990748,17.756051233389996,0.0004957018970082753,2.4785094850413762e-05,0.056598568851607245
145,4,8,8,0.2,0.01,2.6666666666666665,145,,1,145.0,0.6990626115510825,-2.9275332490655788,0.0007563152933370609,3.781576466685305e-05,0.0863550522235475
146,4,8,8,0.2,0.001,2.6666666666666665,146,,2,146.0,0.8258307429616545,-3.408829746906555,0.00010183512578729181,5.09175628936459e-06,0.011627396249984292
147,4,8,8,0.2,0.0001,2.6666666666666665,147,,3,147.0,0.03928677052713786,-0.04983486419732375,4.505425592056409e-05,2.2527127960282044e-06,0.005144233704103436
148,4,8,8,0.2,1e-05,2.6666666666666665,148,,4,148.0,0.024835012134121415,0.021970707431193122,2.461978770212177e-05,1.2309893851060884e-06,0.0028110538970707835
149,4,8,8,0.2,1e-06,2.6666666666666665,149,,5,149.0,0.023685777947570222,0.029260923916134926,2.1709620344148163e-05,1.0854810172074082e-06,0.0024787749435826968
150,4,8,8,0.5,0.1,2.6666666666666665,150,,6,150.0,-4.202712893680828,18.145127351711604,0.00046369221537199094,2.318461076859955e-05,0.05294374690934016
151,4,8,8,0.5,0.01,2.6666666666666665,151,,7,151.0,-3.914305564786318,16.894826522004596,0.0005453481932447723,2.7267409662238612e-05,0.06226711547756812
152,4,8,8,0.5,0.001,2.6666666666666665,152,,0,152.0,3.352711874260028,-14.247376039714682,0.0003757065972725023,1.8785329863625114e-05,0.042897668623156
153,4,8,8,0.5,0.0001,2.6666666666666665,153,,1,153.0,0.06458816425245141,-0.17268960240814357,0.00010415123903517048,5.207561951758524e-06,0.011891846912609038
154,4,8,8,0.5,1e-05,2.6666666666666665,154,,2,154.0,0.023982807793203248,0.017163812484776653,3.159166303935026e-05,1.579583151967513e-06,0.0036070931470322614
155,4,8,8,0.5,1e-06,2.6666666666666665,155,,3,155.0,0.0202091032533653,0.034868679351967996,2.691578442456709e-05,1.3457892212283544e-06,0.0030732076821635536
156,4,8,8,0.8,0.1,2.6666666666666665,156,,4,156.0,-4.216151826750403,18.20342107767727,0.0004564358112742958,2.282179056371479e-05,0.052115220552234796
157,4,8,8,0.8,0.01,2.6666666666666665,157,,5,157.0,-4.204372905186748,18.146441883768397,0.000466118279864131,2.330591399320655e-05,0.053220751655590974
158,4,8,8,0.8,0.001,2.6666666666666665,158,,6,158.0,-3.5491769659278303,15.276106162151017,0.0006052114943134036,3.026057471567018e-05,0.06910222582849919
159,4,8,8,0.8,0.0001,2.6666666666666665,159,,7,159.0,0.14162188828246303,-0.5018641839789646,0.00015862273696367238,7.931136848183619e-06,0.01811132850943865
160,4,8,8,0.8,1e-05,2.6666666666666665,160,,0,160.0,0.02490775894377893,0.008975465040232977,3.661077357749963e-05,1.8305386788749814e-06,0.004180168366396475
