Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
184,4,10,8,0.1,1e-05,2.6666666666666665,184,,0,184.0,1.6564579481246918e-06,1.0765520363492955e-07,1.0765520363492955e-07
185,4,10,8,0.1,1e-06,2.6666666666666665,185,,1,185.0,2.1735454078912194e-06,1.321900491957726e-07,1.321900491957726e-07
186,4,10,8,0.2,0.1,2.6666666666666665,186,,2,186.0,2.699503641151203e-05,2.0313583367074273e-06,2.0313583367074273e-06
187,4,10,8,0.2,0.01,2.6666666666666665,187,,3,187.0,4.1640856441917644e-05,2.2391327495660484e-06,2.2391327495660484e-06
188,4,10,8,0.2,0.001,2.6666666666666665,188,,4,188.0,5.9827267426122135e-06,5.205867898981755e-07,5.205867898981755e-07
189,4,10,8,0.2,0.0001,2.6666666666666665,189,,5,189.0,2.7582499761319624e-06,2.2363382777254266e-07,2.2363382777254266e-07
190,4,10,8,0.2,1e-05,2.6666666666666665,190,,6,190.0,1.3704093609458716e-06,1.0874330340214279e-07,1.0874330340214279e-07
191,4,10,8,0.2,1e-06,2.6666666666666665,191,,7,191.0,1.171728722687876e-06,1.0270235230092145e-07,1.0270235230092145e-07
192,4,10,8,0.5,0.1,2.6666666666666665,192,,0,192.0,2.5585169462233173e-05,1.9269223418380474e-06,1.9269223418380474e-06
193,4,10,8,0.5,0.01,2.6666666666666665,193,,1,193.0,2.914861142391539e-05,2.187213518350183e-06,2.187213518350183e-06
