Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
0,8,8,8,0.7,2.6666666666666665,112,,0,0.02109451757396703,0.032971162733502576,3.4758882700241325e-05,1.7379441350120662e-06,1252320729412.973
1,8,8,8,0.8,2.6666666666666665,113,,1,0.02081734591720195,0.033279350779497056,4.293543895950293e-05,2.1467719479751466e-06,1546912215192.0486
2,8,8,8,0.9,2.6666666666666665,114,,2,0.020671020576874734,0.03340402524354591,6.128176399674258e-05,3.0640881998371287e-06,2207908236002.692
3,8,8,8,0.99,2.6666666666666665,115,,3,0.02053938317278964,0.03358764101692803,0.00010366114695673828,5.183057347836914e-06,3734786422457.318
4,8,8,8,0.999,2.6666666666666665,116,,4,0.02060752751641553,0.03345447592564682,0.00011399216545965187,5.699608272982594e-06,4107000591097.9526
5,8,10,8,0.001,2.6666666666666665,117,,5,-0.07062159153646003,0.36088123464587374,0.000480060768135411,2.400303840677055e-05,17296011971918.646
6,8,10,8,0.01,2.6666666666666665,118,,6,-0.012055748937983522,0.10806635215846346,0.0007373417912697681,3.6867089563488405e-05,26565537731257.773
7,8,10,8,0.1,2.6666666666666665,119,,7,0.03100648210729593,0.013623317649375404,5.115640867276427e-05,2.5578204336382137e-06,1843103864290.192
0,8,10,8,0.2,2.6666666666666665,120,,0,0.02573055810393029,0.025255509421659803,3.375264672949196e-05,1.687632336474598e-06,1216067257869.6638
1,8,10,8,0.3,2.6666666666666665,121,,1,0.02367396038165384,0.02919237610586486,2.8339300865052043e-05,1.4169650432526023e-06,1021030918526.31
2,8,10,8,0.4,2.6666666666666665,122,,2,0.022468816645238393,0.031271677522763434,2.653216148216605e-05,1.3266080741083025e-06,955921860515.3347
3,8,10,8,0.5,2.6666666666666665,123,,3,0.021644886046316578,0.0325780290776197,2.738487040204253e-05,1.3692435201021264e-06,986643937105.8243
4,8,10,8,0.6,2.6666666666666665,124,,4,0.021107789557805755,0.03333949139317874,3.1242916789630354e-05,1.5621458394815177e-06,1125644707293.9734
5,8,10,8,0.7,2.6666666666666665,125,,5,0.020703004807361862,0.03386219331218182,3.707923024947399e-05,1.8539615124736995e-06,1335920060277.727
6,8,10,8,0.8,2.6666666666666665,126,,6,0.020274450611065087,0.03445630259541168,4.625158736859196e-05,2.312579368429598e-06,1666389053107.8774
7,8,10,8,0.9,2.6666666666666665,127,,7,0.019910153703870993,0.03499906404830139,6.673775887152734e-05,3.336887943576367e-06,2404481167882.8203
0,8,10,8,0.99,2.6666666666666665,128,,0,0.019729204619774742,0.03528725144161108,0.0001113461446577598,5.5673072328879896e-06,4011667644718.6265
1,8,10,8,0.999,2.6666666666666665,129,,1,0.019761209511823828,0.03522441015189835,0.00012263655211113518,6.131827605556759e-06,4418447443117.687
2,16,2,8,0.001,2.6666666666666665,130,,2,-0.06718065041591124,0.3494908862804108,0.00048371726649985055,2.418586332499253e-05,17427751209291.215
3,16,2,8,0.01,2.6666666666666665,131,,3,-0.010785598483112271,0.10446786792939343,0.0007429351935258571,3.714675967629286e-05,26767061285787.82
4,16,2,8,0.1,2.6666666666666665,132,,4,0.034765303682510615,0.002030464917864936,4.241030872000044e-05,2.120515436000022e-06,1527992404384.4934
5,16,2,8,0.2,2.6666666666666665,133,,5,0.02999231258399635,0.012472251541126037,2.9297582311795375e-05,1.4648791155897688e-06,1055556646258.0647
6,16,2,8,0.3,2.6666666666666665,134,,6,0.028100344427643698,0.016051849753844348,2.6962079452531316e-05,1.3481039726265658e-06,971411287804.4299
7,16,2,8,0.4,2.6666666666666665,135,,7,0.02694730940029519,0.01801236447801441,2.729326174627159e-05,1.3646630873135795e-06,983343387441.8732
0,16,2,8,0.5,2.6666666666666665,136,,0,0.02613697881963138,0.01926168604389446,3.0173480513523072e-05,1.5086740256761535e-06,1087114204777.3873
1,16,2,8,0.6,2.6666666666666665,137,,1,0.025446110530152263,0.02028300282140107,3.5746685372167134e-05,1.7873342686083567e-06,1287910071374.5781
2,16,2,8,0.7,2.6666666666666665,138,,2,0.024544921217677925,0.021781108780125145,4.1845234993377516e-05,2.092261749668876e-06,1507633477787.2466
3,16,2,8,0.8,2.6666666666666665,139,,3,0.023711762806988893,0.023212759169158544,5.260028971297734e-05,2.630014485648867e-06,1895125161207.559
4,16,2,8,0.9,2.6666666666666665,140,,4,0.02330383615953552,0.023852478430265486,7.561493113147364e-05,3.780746556573682e-06,2724315005338.8027
5,16,2,8,0.99,2.6666666666666665,141,,5,0.02287128133988872,0.02468076161379032,0.00012794334352487076,6.397167176243538e-06,4609644753785.146
6,16,2,8,0.999,2.6666666666666665,142,,6,0.022865313263592695,0.02469136928234768,0.000146548456366028,7.3274228183014005e-06,5279964587854.121
7,16,4,8,0.001,2.6666666666666665,143,,7,-0.06711289886778693,0.34991962305769764,0.0004834745373352646,2.417372686676323e-05,17419005969489.766
0,16,4,8,0.01,2.6666666666666665,144,,0,-0.010855878650787593,0.10471353706198892,0.0007418955671659403,3.709477835829701e-05,26729604798690.81
1,16,4,8,0.1,2.6666666666666665,145,,1,0.03340537281621918,0.006003089175548017,4.7022704815811324e-05,2.351135240790566e-06,1694171487091.5254
2,16,4,8,0.2,2.6666666666666665,146,,2,0.02878496264611285,0.016141614183411417,3.398494396035198e-05,1.699247198017599e-06,1224436647648.387
3,16,4,8,0.3,2.6666666666666665,147,,3,0.02707317799080647,0.019342459295070946,3.133906885742754e-05,1.566953442871377e-06,1129108950627.5918
4,16,4,8,0.4,2.6666666666666665,148,,4,0.025942861120895874,0.021231456676546936,3.074643359403487e-05,1.5373216797017436e-06,1107757015016.537
5,16,4,8,0.5,2.6666666666666665,149,,5,0.025188391768088285,0.022350914970698545,3.1946522318206314e-05,1.5973261159103157e-06,1150994768064.4575
6,16,4,8,0.6,2.6666666666666665,150,,6,0.0246340919325976,0.023084025402080408,3.4918768527697624e-05,1.7459384263848811e-06,1258081223436.6047
7,16,4,8,0.7,2.6666666666666665,151,,7,0.024033586655173425,0.023948241349463825,3.9326502631849075e-05,1.9663251315924537e-06,1416886580788.6426
0,16,4,8,0.8,2.6666666666666665,152,,0,0.02317048478219505,0.025401098198454604,4.760836006856194e-05,2.3804180034280967e-06,1715271941315.9673
1,16,4,8,0.9,2.6666666666666665,153,,1,0.022484438486974265,0.0265812319381225,6.449555820825041e-05,3.224777910412521e-06,2323697375309.8296
2,16,4,8,0.99,2.6666666666666665,154,,2,0.0220396404856011,0.027414970093183635,0.00011225174188697611,5.612587094348805e-06,4044295223470.997
3,16,4,8,0.999,2.6666666666666665,155,,3,0.02211854135301465,0.02724928135966563,0.00013080159832521348,6.540079916260674e-06,4712624235815.174
4,16,6,8,0.001,2.6666666666666665,156,,4,-0.06715382439752368,0.34999995243701565,0.000483033365715719,2.415166828578595e-05,17403111086758.627
5,16,6,8,0.01,2.6666666666666665,157,,5,-0.011344447509259958,0.10611897889266053,0.0007396434123246261,3.69821706162313e-05,26648462369057.82
6,16,6,8,0.1,2.6666666666666665,158,,6,0.03297499226348994,0.007482335802029869,5.5391382823236767e-05,2.7695691411618382e-06,1995684888338.1245
7,16,6,8,0.2,2.6666666666666665,159,,7,0.028279215351621756,0.01780345538313404,4.2665003464768625e-05,2.1332501732384313e-06,1537168749645.5432
0,16,6,8,0.3,2.6666666666666665,160,,0,0.02641646401746417,0.021310956707811052,4.088588230398274e-05,2.044294115199137e-06,1473069154471.4448
1,16,6,8,0.4,2.6666666666666665,161,,1,0.02530298026837472,0.02317153855103742,4.0839186894688236e-05,2.041959344734412e-06,1471386775048.2559
2,16,6,8,0.5,2.6666666666666665,162,,2,0.02455898174460639,0.024268314220837355,4.171453370390819e-05,2.0857266851954096e-06,1502924467558.8394
3,16,6,8,0.6,2.6666666666666665,163,,3,0.02390749071038606,0.025184918892534564,4.276359454249439e-05,2.1381797271247196e-06,1540720867572.8057
4,16,6,8,0.7,2.6666666666666665,164,,4,0.023452886351154154,0.025727746288298995,4.7072697983110375e-05,2.353634899155519e-06,1695972680768.4783
5,16,6,8,0.8,2.6666666666666665,165,,5,0.023053672233772575,0.02621328841472986,5.437196503516419e-05,2.7185982517582095e-06,1958956491774.1365
6,16,6,8,0.9,2.6666666666666665,166,,6,0.02253810692406446,0.02703423667576081,7.323282843787863e-05,3.6616414218939315e-06,2638490710912.941
7,16,6,8,0.99,2.6666666666666665,167,,7,0.022057648419249017,0.027922460960444196,0.00011547975784973724,5.773987892486862e-06,4160596755367.2935
0,16,6,8,0.999,2.6666666666666665,168,,0,0.021998889969625866,0.028039579854221026,0.00012545955823368797,6.272977911684398e-06,4520156957690.433
1,16,8,8,0.001,2.6666666666666665,169,,1,-0.06711882402723966,0.34983511116852706,0.0004835566812473733,2.4177834062368666e-05,17421965515825.473
2,16,8,8,0.01,2.6666666666666665,170,,2,-0.011493369522390993,0.1065474583368859,0.0007389702674327792,3.694851337163896e-05,26624209768385.12
3,16,8,8,0.1,2.6666666666666665,171,,3,0.032905234359022865,0.007784873240419998,5.308235511448536e-05,2.654117755724268e-06,1912493397708.357
4,16,8,8,0.2,2.6666666666666665,172,,4,0.028094416868926525,0.01837704268379628,3.765803280586855e-05,1.8829016402934273e-06,1356773620096.1238
5,16,8,8,0.3,2.6666666666666665,173,,5,0.02617040970536423,0.022026819051082155,3.4673392934398735e-05,1.7336696467199367e-06,1249240635992.2314
6,16,8,8,0.4,2.6666666666666665,174,,6,0.025010443793058362,0.023993290007526254,3.473618823238572e-05,1.736809411619286e-06,1251503075037.15
7,16,8,8,0.5,2.6666666666666665,175,,7,0.02419744574172157,0.025242598985314925,3.5858525050064097e-05,1.7929262525032049e-06,1291939520428.194
0,16,8,8,0.6,2.6666666666666665,176,,0,0.023754290642066037,0.025760492858852856,3.933436999831437e-05,1.9667184999157185e-06,1417170032538.0945
1,16,8,8,0.7,2.6666666666666665,177,,1,0.023477142321397262,0.025955673806260907,4.449091416332859e-05,2.2245457081664295e-06,1602954115578.7148
2,16,8,8,0.8,2.6666666666666665,178,,2,0.023204558710514425,0.026184300071930105,5.2419047607528055e-05,2.620952380376403e-06,1888595226179.037
