,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,1.921967062912868e-05,121,0.001,1e-05,,13,15
0,1.921967015677316e-05,122,0.001,1e-05,,13,23
0,1.9219667795147105e-05,123,0.001,1e-05,,13,63
0,1.921964124424447e-05,124,0.001,1e-05,,13,513
0,1.921937747849092e-05,125,0.001,1e-05,,13,5013
0,1.8583374950681453e-05,126,0.001,0.0001,,13,13
0,1.8583373528804138e-05,127,0.001,0.0001,,13,15
0,1.8583367842042692e-05,128,0.001,0.0001,,13,23
0,1.8583339426169278e-05,129,0.001,0.0001,,13,63
0,1.858302179132184e-05,130,0.001,0.0001,,13,513
0,1.8580037051466914e-05,131,0.001,0.0001,,13,5013
0,1.765551868861021e-05,132,0.001,0.001,,13,13
0,1.7655501076653253e-05,133,0.001,0.001,,13,15
0,1.7655430718825386e-05,134,0.001,0.001,,13,23
0,1.7655081072945733e-05,135,0.001,0.001,,13,63
0,1.7651375988832737e-05,136,0.001,0.001,,13,513
0,1.7627462857929968e-05,137,0.001,0.001,,13,5013
0,1.6191667434408727e-05,138,0.001,0.01,,13,13
0,1.6191448351839783e-05,139,0.001,0.01,,13,15
0,1.6190582300459505e-05,140,0.001,0.01,,13,23
0,1.61864810941167e-05,141,0.001,0.01,,13,63
0,1.6155444159018372e-05,142,0.001,0.01,,13,513
0,1.6062741987103638e-05,143,0.001,0.01,,13,5013
0,1.3639672155064957e-05,144,0.001,0.1,,13,13
0,1.3637459044583478e-05,145,0.001,0.1,,13,15
0,1.362922354129869e-05,146,0.001,0.1,,13,23
0,1.3597253802598506e-05,147,0.001,0.1,,13,63
0,1.3446499807708406e-05,148,0.001,0.1,,13,513
0,1.32664567664439e-05,149,0.001,0.1,,13,5013
0,1.2510103087714626e-05,150,0.001,0.2,,13,13
0,1.2506111618042474e-05,151,0.001,0.2,,13,15
0,1.2491509009110287e-05,152,0.001,0.2,,13,23
0,1.243605725027975e-05,153,0.001,0.2,,13,63
0,1.220883234950154e-05,154,0.001,0.2,,13,513
0,1.2038519521210144e-05,155,0.001,0.2,,13,5013
0,1.1748433745852642e-05,156,0.001,0.3,,13,13
0,1.1742826539900608e-05,157,0.001,0.3,,13,15
0,1.172228671201216e-05,158,0.001,0.3,,13,23
0,1.1644124793487837e-05,159,0.001,0.3,,13,63
0,1.1367350881974353e-05,160,0.001,0.3,,13,513
0,1.121183886967029e-05,161,0.001,0.3,,13,5013
0,1.1160849505025979e-05,162,0.001,0.4,,13,13
0,1.1153629434359156e-05,163,0.001,0.4,,13,15
0,1.1127060760024596e-05,164,0.001,0.4,,13,23
0,1.1026654628771354e-05,165,0.001,0.4,,13,63
0,1.0716503121457016e-05,166,0.001,0.4,,13,513
0,1.0574142249984806e-05,167,0.001,0.4,,13,5013
0,1.0678492069909955e-05,168,0.001,0.5,,13,13
0,1.0669606492936519e-05,169,0.001,0.5,,13,15
0,1.0636819029280467e-05,170,0.001,0.5,,13,23
0,1.0515016159042305e-05,171,0.001,0.5,,13,63
0,1.0181952479404213e-05,172,0.001,0.5,,13,513
0,1.0050677613775616e-05,173,0.001,0.5,,13,5013
